	exp_000	exp_001	exp_002	exp_003	exp_004	exp_005	exp_006	exp_007	exp_008	exp_009
b0001	5.744635720568625	8.007656822651368	8.342809857155542	8.931856369647594	7.093472657825898	8.940248685958984	5.977159615983809	6.732968042952431	7.668132909913939	11.161129803216818
b0002	7.142603305132936	10.241820154809073	8.854331552441314	7.4118001511812865	7.556861953991578	10.155534585252193	6.10077224451107	8.775743050627197	5.555061947181972	11.049988402667537
b0003	7.222410636878421	7.782250759792879	8.628972833704012	5.494890869805026	7.7917475105118035	8.593057708227972	9.798401694719335	6.6414155519572695	7.066450035413548	8.091249332413968
b0004	9.432608138797882	9.96605520760238	7.037123015497476	8.138188427477306	7.260453992605836	9.911989096215525	6.067389921059084	8.765281938549597	5.0344088243165634	7.786581997686945
b0005	7.544652863262779	9.499924040492594	9.971086136092683	8.400773654605102	4.306086676468263	7.4150334106620175	4.108488385338377	6.386995439643801	6.206650800595795	11.504035837143757
b0006	9.298690245916742	10.209558781156074	8.933549984559601	6.9305629582528	5.410894231008671	9.269222696658632	7.219810507581469	12.057139221011006	6.916743404894374	11.179251250905113
b0007	7.57477014036389	6.9158132782319965	11.431146948133717	9.041390598882838	7.536010309863404	7.78150482451935	7.567207665817486	5.951293043795048	6.832177536581074	13.681919125795
b0008	6.514195512303967	7.150553405595842	8.149477047631462	7.244786518825701	5.674004853400801	8.102844462209042	6.406544429410843	8.710388645952772	6.620863648649295	10.32490160752631
b0009	6.092837675610419	8.066548947623945	9.280474152710031	5.562389018134986	7.606239749304834	10.512740047546245	3.3750194720476347	8.835790352876634	7.382073294294523	10.34908782264523
b0010	4.436497978810045	5.151490776986119	8.86350757083778	10.118375679668713	8.716107266498032	8.172150767201483	5.681193242482413	7.289981693138551	9.366381575634568	8.88573999210312
b0011	10.098143663881604	9.79073610778586	6.665250240702436	8.64214676642826	6.884330871501764	10.395753949097912	8.345576582528201	6.247450200199809	7.216131575705792	10.452011380255453
b0012	7.955451306336218	12.51125509652661	7.38525929252789	7.15200069788293	6.727568927609153	7.899201048757988	5.443481377699286	9.545104846071519	6.377544834935275	11.866129683553591
b0013	7.626925744618562	10.267778943987741	7.65011580259665	13.119063384462445	7.476883313240652	7.4774164044469895	5.193143420524736	7.98945637471101	8.851352972937038	11.175190842173242
b0014	7.5694202186974575	9.729046138153485	7.405513961010007	4.587776441521788	6.836964156298992	11.056499109448948	5.856970115728817	6.769674908363383	5.891781070061585	10.926926748236239
b0015	5.074362706538924	9.726883100925981	7.558354067193624	7.3394300852408465	7.961486769474987	9.125167245882402	8.75088395508004	7.760706870908229	3.8037632452326298	9.693642832375376
b0016	8.77255290081299	8.770678926368314	8.772571529459071	13.779097235982082	8.85633576603975	9.703348460270899	9.431002645239804	8.977086876958698	7.527096133039482	9.1384538307399
b0017	4.524942459876665	7.6655019527696115	7.496981481771295	9.773268463633306	10.184735288946952	6.482540938683352	6.309891418624709	4.602655318715985	8.01606384923005	12.04937800949975
b0018	5.972016405959252	7.44955645490856	8.591371040028093	9.582260111923897	5.688255672034898	9.670709165476893	5.120691105206609	7.32383936889537	11.66944252476907	12.166988970013664
b0019	4.766674425809883	8.564703544117833	7.895698664673299	9.5715250501294	5.241170451300223	8.770880472869335	7.753843839445674	8.50126575312197	4.425459813645649	9.172870475911784
b0020	5.733455990022571	7.226711226574696	10.828548293942545	8.590772913820512	5.80972788923785	9.83836413678995	10.612080557608769	8.847825578989816	4.260942943091374	9.323656463552723
