## Network Regulatory Interactions in Escherichia coli K-12 substr. MG1655
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) RegulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Gene ID regulated by the Regulator
## (5) regulatedName. Gene regulated by the Regulator
## (6) function. Regulatory Function (+/-/+-/?)
## (7) confidenceLevel. Evidence level (C/S/W/?)
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00064	gene64	+	W
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00042	gene42	-	W
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00097	gene97	+-	W
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00099	gene99	-	S
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00086	gene86	+	W
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00066	gene66	-	S
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00044	gene44	+	S
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00012	gene12	+	W
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00002	gene2	+-	W
RDBECOLICNC00000	tf1	gene1	RDBECOLIGNC00033	gene33	+	S
FAKE_gene20	gene20	gene20	FAKE_tf4	tf4	+	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00071	gene71	+-	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00019	gene19	+	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00008	gene8	-	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00066	gene66	-	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00065	gene65	+	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00095	gene95	+-	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00041	gene41	+	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00049	gene49	+-	S
