	exp_000	exp_001	exp_002	exp_003	exp_004	exp_005	exp_006	exp_007	exp_008	exp_009	exp_010	exp_011	exp_012	exp_013	exp_014	exp_015	exp_016	exp_017	exp_018	exp_019	exp_020	exp_021	exp_022	exp_023	exp_024	exp_025	exp_026	exp_027	exp_028	exp_029	exp_030	exp_031	exp_032	exp_033	exp_034	exp_035	exp_036	exp_037	exp_038	exp_039	exp_040	exp_041	exp_042	exp_043	exp_044	exp_045	exp_046	exp_047	exp_048	exp_049
b0001	7.762847764894702	9.20988987187053	8.575420930725157	4.445417885773329	7.477980370554742	8.297837544344437	5.848452549261731	8.87153301479898	5.713977137409454	6.80234142887442	10.011967879550202	6.674333316703597	8.860950438802513	5.369639423136969	11.121971985147713	7.543169542269114	8.14298121042158	8.268555194823447	8.911350296497037	5.721230025520734	7.991995293745005	7.0118467613279645	5.465664160882595	9.480683300193066	7.471740524600614	8.36378063841878	8.269768128092089	7.49772159143583	10.962541030446172	7.929103021056486	5.663071523484998	7.399427959725023	8.749606430168166	8.798892664055828	6.368328597107357	9.394223761017155	5.35569960669344	9.716202803924627	6.020978166293892	7.660632171486986	9.59685301704005	8.179408503330604	9.225047776570355	8.927992939564898	9.929402920106902	9.593314776370567	7.319383537195337	8.949412450690197	5.710172207453381	7.913142638993323
b0002	9.695951935607514	9.354975937408897	8.648635727477687	5.162565672641064	9.883527077424882	8.51041269628212	5.7941533190343355	9.09806634752809	3.408781736772123	7.167064130819842	7.725771261383631	8.842270634270076	7.577193612581084	6.87747163201302	10.340100435869125	4.16690141402929	7.251787884919586	10.327273515868148	11.072220970071779	7.135620433701536	6.8393045845548395	7.631975322838044	8.383641442221503	8.297571720392188	9.277523279460057	7.5995328177805455	6.708490590273662	3.523165929753126	11.073796718745665	8.343463437913911	4.56550403135177	5.012535682225276	7.084871068952504	8.409568596506695	6.673914693374842	8.282647462779721	3.7944021410398787	7.7194615300428495	3.8340911151112342	6.503462328305687	7.2741425241781155	8.796331735568561	8.494776993011985	8.159108128459184	13.471094937961665	8.233298970770255	9.84426838465931	10.018183808491612	4.452632848647292	7.567718505174801
b0003	7.223699523637664	7.101613405160997	8.833065225210362	7.065694255365075	7.256046430510294	7.74782765656206	7.439901097435146	6.239644689481812	9.19385975727121	9.5727964077614	8.515427884302825	7.4351710234666015	6.9421838955053286	6.94456990561033	11.536064547549064	9.406757452349966	6.739834882124993	8.24704674115571	7.456197462350956	8.875700564234437	8.815248654184012	9.625414480858206	6.724165312006707	8.157102947957195	5.3771795225637105	6.1139895493567336	9.32615125483877	6.573974312892009	6.738636802928218	7.987582888174926	9.042141546269809	6.408759806248856	2.7787867568598745	6.6946651367847325	9.808442116929255	8.51470257652531	9.98581220568082	6.302275786800957	5.540905598503915	8.69382282897131	8.36003410652757	8.458331480565887	9.399494963975853	8.63252738586839	8.608426389710568	9.07251052070171	8.75362494828054	9.28616889757611	9.512781237167873	10.297533201861373
b0004	7.026213012644481	8.720843161116122	7.4445149471040555	6.7496615190811	6.965689518379451	8.742433276342288	8.627378832179	8.600618043857656	7.661429528646	8.005122126767615	9.226629043814075	5.765910410526041	8.036963147642876	8.134934222190184	9.129956403616474	5.974627382085762	10.242700618276118	8.320445636642765	8.399870820042404	7.3979303640016605	8.807033532195266	8.071931075424658	9.813472916159698	5.837758627904577	8.263318744835761	8.612768522566139	7.720441408455362	7.39300126503943	7.455564081546939	8.261958904051742	5.2850616485289414	9.447522441594845	7.279802198456224	8.191704046050175	8.550653400182101	7.211291919030565	7.803442389501506	4.947139639061744	9.098185410999609	9.620103500483246	5.44850967209187	7.390260684955607	6.155195932638778	7.733389517768891	8.972954502081441	9.480963348884938	9.682779784140273	9.96581573703832	7.666380832316651	6.279562056899842
b0005	7.828114549538046	8.949901253455364	6.159110328618714	10.490205430172363	9.346832808140512	7.690149247353006	6.933692104383138	6.996318378331035	8.111309320700233	7.655896095904471	9.425754132923938	7.485536257546056	8.758252715917237	7.956612673737695	8.404504036095606	7.654915346605426	9.061573311874431	9.083810120435116	8.689893538733216	8.911271490724257	6.5834468336854215	8.48486864436347	9.8738026512313	8.737106850529246	6.453923745797715	7.9253502355263725	8.562466907509563	6.863900724652536	5.962593204914971	7.525853197345209	6.888751388048446	7.978566452915047	5.612893028755567	8.847051593804233	7.048092447059965	9.493628355022034	7.584651740305433	7.961916430423269	7.740447681954623	6.967760464849591	11.70841919340899	7.256200732989073	9.535282283698491	6.359556580904908	8.55819708663974	8.718308245897754	7.963734534352805	7.1434929205406394	7.605017146079054	7.395065747040319
b0006	11.603039422753184	7.9660953658327704	8.787333167995925	10.672437635638051	6.685521998038728	8.056490349751906	7.596220802477917	7.870792331774954	7.7314820493237715	6.902184371554674	8.29311542749495	6.406050833875848	9.483324105963527	8.934964709981905	7.259805775453977	7.3325250179392105	8.41326584352238	6.802182026590726	10.717970186202308	8.536888593037652	8.589894727075515	9.022167620535928	7.130805088894895	9.63351497267716	8.171800049323195	9.425218206498247	7.703070310147504	9.975917340096778	8.602015440537185	11.27376053626563	7.445717574766655	8.306824094136118	6.452635629694763	7.20605264368067	8.928029821771858	9.693986656309251	12.447515527581084	7.855056640065168	6.600179888531604	9.129988640565863	6.308259169248041	8.846416082040104	7.246616425708814	8.31739245557059	9.636569153247	7.833899856378956	9.399318626492931	9.309737822928723	5.203502707536358	6.647598880946641
b0007	7.105125921707276	12.000248676597625	8.877214406763237	8.941270971950296	4.588501302827594	5.6013935435844155	8.87092319847127	9.713552241953089	6.935337406201776	5.649046187568022	8.60771412562301	9.128600837635346	8.376633265521619	6.111570097895984	8.922173897318403	9.863936446278087	3.984280392426704	7.230105192366633	7.864620262611222	11.189476392502957	5.095116363345703	8.72274581278819	4.889603099581086	6.246207907707207	9.7084256784351	6.177221046541233	11.515446795050098	7.176990465092554	10.285826585348483	7.199762387924963	4.998834783133358	8.970941063281527	5.289949500956057	10.013953330435442	8.032298585072763	8.824024828588856	8.907329889147132	5.04833332614659	8.05908949553904	8.297698925934158	5.97558939774615	11.239469595185112	11.844440276583066	9.029122880277628	8.066042382212737	8.549876585076941	7.291962511127326	8.897234241455916	6.024821411442099	8.031907312674141
b0008	8.466573173847427	7.46302777489061	7.843597342552451	4.271078397968471	8.36375066963044	9.049987082163184	6.4243367633639235	8.717918284333102	5.270081182743516	8.988013929028206	7.659138249575909	9.75745775287011	4.542281249211142	12.829136675492869	8.881464173184447	4.414825377150663	6.918204374553554	10.067415846676589	10.041236036183696	6.375230097273401	10.347046317253207	9.398068873460701	10.138849687871838	7.645388315413124	8.553099566168205	10.144462954409935	8.656014861085756	5.063557233654062	9.437371374619827	9.357351668455495	4.936729102346682	7.923183772525902	5.117083874004476	9.652454794029428	7.0046776531163895	9.870519594586778	3.662987623973672	7.17718534247296	7.911471145931193	7.770335539561527	7.338544054168663	10.67224613383108	9.285746156306812	7.8360001038645315	9.60374376926196	7.041216581348342	10.861736971760111	10.067255711987432	5.056808664859259	8.734367069537797
b0009	9.934634792563061	7.607900112567316	8.180749938183952	6.456988500306374	6.082966124845436	5.534388926617914	6.672254751500229	10.328842723234462	5.670909398275944	7.544696021634203	6.060282014530763	7.098539055494959	8.25454068852803	6.949826190192487	9.634497297524693	10.30096718127435	4.6263564079160915	6.975511504473316	8.088713183408634	9.689175539023072	7.3186335872701065	7.970096907131285	6.264883662422077	5.700806221606482	10.1680770343744	5.2638951891605945	11.492928512632348	9.087727099072612	9.019959613275134	8.863203001241645	7.6209714679985545	8.588126794551304	7.7166549683232875	8.829609914660718	7.949470209636926	6.574477725347398	6.694141075607366	6.523591437061245	9.456351097901464	7.073830081311352	5.13184525837271	8.595257998773208	10.271776343884373	9.15962478376629	7.095014652167432	5.619782426607366	7.7985978449637345	7.761164182854935	6.546200584529351	8.826555953363806
b0010	9.03086070684512	10.53955440349406	7.635026885429221	8.630212314473743	7.515161494081765	7.820972185495284	8.030995654811557	8.048075048166929	8.88118314365389	6.774760300830998	11.644666054476112	9.700882361933854	7.671658471164086	7.4685252049934645	9.445169492569466	5.404727783469969	8.013866975659028	7.578316778228937	7.597362395938645	10.711892970607082	6.125719894052865	6.265859809286658	7.708723204710566	8.422470917549598	12.161596538550619	7.602214041889799	9.146100645925152	4.6277274263229815	11.366593937764776	5.1020218475974115	7.048263813298003	7.278794581763039	5.687859144548815	9.086950381707993	9.136834132180308	11.293239594927131	6.535964161593279	7.285868408605798	9.511853808551962	5.532144352506148	9.722754133670932	9.536423675430765	9.40454264149363	6.375441436398029	6.599561016615988	6.42106125102311	9.95699915819008	10.333601802283697	7.883399441056181	6.6271782067913145
