Experiment_ID	Condition	Perturbation	Value	Time_Point
exp_000	Glucose	Chemical	0.6130530145420264	49min
exp_001	Anaerobic	Temperature	4.597252924969086	4min
exp_002	Heat_Shock	Oxygen	0.7274122076804007	43min
exp_003	pH_Stress	pH	2.097131577069335	39min
exp_004	Stationary	Growth_Phase	8.117757013960885	0min
exp_005	Glucose	Chemical	1.4743652570760017	8min
exp_006	Anaerobic	Temperature	7.626255812907897	10min
exp_007	Heat_Shock	Oxygen	4.784345390413733	37min
exp_008	pH_Stress	pH	4.177225050057959	29min
exp_009	Stationary	Growth_Phase	1.1563225761230171	4min
